店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体
ウエスト,喫茶店,埼玉県さいたま市大宮区桜木町2-3,048-645-7070,・,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11013461/,tabelog
OTTO,カフェ、ケーキ、パスタ,埼玉県さいたま市大宮区東町2-88-2 橋本ビル 1F,048-871-5868,|,祝日も含め月曜定休となります その他有り ),https://tabelog.com/saitama/A1101/A110101/11038069/,tabelog
スターバックス コーヒー ルミネ大宮 LUMINE1店,カフェ、パン,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 LUMINE1 B1F,048-631-3008,無休,"月〜金：07：00 〜 21：00
土：08：00 〜 21：00
日：08：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11046844/,tabelog
ランチ&バー422,たこ焼き、バー、カフェ,埼玉県さいたま市大宮区桜木町2-238-8 梨華ビル1F,,日,"月〜金：11：30 〜 14：30
土・日・祝日：16：30 〜 00：00",https://tabelog.com/saitama/A1101/A110101/11048716/,tabelog
ベーカリーアンドスタジオアンク,パン、カフェ,埼玉県さいたま市大宮区吉敷町1-112-4 1F,048-607-7728,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11028763/,tabelog
カフェ アレトロ,喫茶店,埼玉県さいたま市大宮区宮町1-27 大栄橋下,048-641-1145,土日祝祭日第一火曜日第四火曜日第五火曜日,月〜金：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11041055/,tabelog
サントリーバー山崎 大宮店,バー、カフェ、パブ,埼玉県さいたま市大宮区仲町1-94,048-644-6618,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11017948/,tabelog
マンゴツリーカフェ ルミネ大宮,タイ料理、アジア・エスニック、カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮2 4F,048-644-2002,無休,月〜日・祝日：11：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11033271/,tabelog
ドトール珈琲農園 大宮駅東口店,カフェ,埼玉県さいたま市大宮区大門町1-94 やすなビル 2F,048-643-2665,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047073/,tabelog
スターバックスコーヒー エキュート大宮ノース店,カフェ、パン,埼玉県さいたま市大宮区錦町630 エキュート大宮ノース,048-729-7418,無休,"月〜金：06：30 〜 22：30
土・日・祝日：06：30 〜 21：30
月〜金：6：30〜22：30
土・日・祝日：6：30〜21：30",https://tabelog.com/saitama/A1101/A110101/11055725/,tabelog
タリーズコーヒー 大宮ソニックシティー店,カフェ,埼玉県さいたま市大宮区桜木町1-7-5,048-658-5020,無休,"月〜金：07：30 〜 19：00
土：08：00 〜 19：00
日：09：00 〜 19：00",https://tabelog.com/saitama/A1101/A110101/11018239/,tabelog
オルタナティブラウンジ,カフェ、ダイニングバー、バル,埼玉県さいたま市大宮区宮町4-2 大宮田中第二ビル 1F,048-788-2417,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11038617/,tabelog
GODIVA cafe Omiya,カフェ,埼玉県さいたま市大宮区錦町630 エキュート大宮,048-782-5020,無休,"月〜金：07：00 〜 22：00
土・日・祝日：07：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11056647/,tabelog
ALL MY TEA 大宮店,ティースタンド、カフェ,埼玉県さいたま市大宮区大門町2-13-3,048-657-8345,無休,"月：12：00 〜 17：00
火〜土：10：00 〜 19：00
日：12：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11056515/,tabelog
洋風ごはん α,洋食、カフェ,埼玉県さいたま市大宮区桜木町1-177,048-643-3900,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11041957/,tabelog
カフェパティオ,レストラン、カフェ,埼玉県さいたま市大宮区高鼻町4-219 埼玉県立歴史と民俗の博物館 2F,048-641-0890,|,火〜日・祝日：10：30 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11035861/,tabelog
ドトールコーヒーショップ 大宮ソニックシティ前店,喫茶店、カフェ,埼玉県さいたま市大宮区桜木町2-194,048-650-8777,無休,月〜日・祝日：08：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11018240/,tabelog
マナワ カフェ,カフェ,埼玉県さいたま市大宮区高鼻町3-119-1,,無休,木〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11052423/,tabelog
紅茶屋さん,カフェ、カレー、スリランカ料理,埼玉県さいたま市大宮区三橋4-233-2,048-622-5931,不定休,"月〜日：10：00 〜 18：00
月〜日：10：00〜18：00
月〜日：11：00〜17：00
月〜日：12：00〜14：00",https://tabelog.com/saitama/A1101/A110101/11035735/,tabelog
トマキュウレモン,喫茶店、パスタ,埼玉県さいたま市大宮区宮町1-96,048-641-5576,無休,月〜土：11：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11040090/,tabelog
こなな ルミネ大宮店,パスタ、カフェ、スイーツ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 1F,048-783-4001,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11050245/,tabelog
シナグロ オーガニックサラダ＆カフェ そごう大宮店,オーガニック、カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店3F,048-788-1660,年中無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047289/,tabelog
伯爵邸,喫茶店、ダイニングバー、レストラン,埼玉県さいたま市大宮区宮町1-46,048-644-3998,年中無休,24時間営業,https://tabelog.com/saitama/A1101/A110101/11004654/,tabelog
いしがまやハンバーグ さいたま新都心,ハンバーグ、ステーキ、パンケーキ,埼玉県さいたま市大宮区吉敷町4-263-1 cocoon2 1F,048-643-5258,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039377/,tabelog
氷川だんご屋,甘味処、和菓子、かき氷,埼玉県さいたま市大宮区高鼻町2-12,048-644-3782,|,火〜日：09：30 〜 18：30,https://tabelog.com/saitama/A1101/A110101/11053049/,tabelog
UCCカフェメルカード 大宮そごう店,カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,048-648-1328,日,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11024813/,tabelog
ドトールコーヒーショップ 大宮駅前店,カフェ,埼玉県さいたま市大宮区桜木町1-8-1 ビリーブオフィスオオミヤ 1F,048-647-5707,無休,"月〜金：07：00 〜 21：00
土・日・祝日：08：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11043099/,tabelog
喫茶 リビエラ 大宮タカシマヤ店,喫茶店,埼玉県さいたま市大宮区大門町1-32 高島屋大宮店 8F,048-643-1111,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11044432/,tabelog
スターバックスコーヒー さいたま新都心コクーンシティ コクーン1店,カフェ,埼玉県さいたま市大宮区吉敷町4-267-2 コクーンシティ,048-711-5991,不定休,月〜日：07：00 〜 22：30,https://tabelog.com/saitama/A1101/A110101/11053740/,tabelog
新宿高野 大宮そごう店,ケーキ、ジューススタンド、フルーツパーラー,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,048-646-2341,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11022301/,tabelog
エッグスンシングス さいたま新都心店,パンケーキ、ハワイ料理、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティコクーン2 1F,048-788-1151,日,掲載なし,https://tabelog.com/saitama/A1101/A110101/11038852/,tabelog
スターバックス コーヒー 大宮マルイ店,カフェ、パン,埼玉県さいたま市大宮区桜木町2-3 大宮マルイ 1F,048-650-3531,無休,月〜日：08：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11030500/,tabelog
Haus Coffee,カフェ,埼玉県さいたま市大宮区櫛引町1-860-67 フォープラスワン 1F,048-788-2232,無休,"月〜水・金：09：00 〜 17：00
土・日・祝日：10：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11065880/,tabelog
カフェ & ダイニング シャチ,カフェ、パスタ、ダイニングバー,埼玉県さいたま市大宮区東町2-289-1 グリーンマンション 1F,048-646-5697,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11053920/,tabelog
エプロント ルミネ大宮店,カフェ、パン、バー,埼玉県さいたま市大宮区錦町630 ルミネ2 西口別館 2F,048-645-3577,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11045984/,tabelog
サロン・ドゥ・カフェ,カフェ,埼玉県さいたま市大宮区桜木町1-7-5 パレスホテル大宮 1F,048-647-3300,無休,月〜日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11000721/,tabelog
青山フロマージュ エキュート大宮ノース,ケーキ、ソフトクリーム、カフェ,埼玉県さいたま市大宮区錦町630 エキュート大宮ノース,048-645-5110,無休,"月〜土：08：00 〜 22：00
日・祝日：08：00 〜 20：30
土・日：8：00〜22：00
日・祝日：8：00〜20：30",https://tabelog.com/saitama/A1101/A110101/11052849/,tabelog
THE ALLEY ルミネ大宮店,ティースタンド、スイーツ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 1F,048-780-2082,無休,"月〜土：10：00 〜 21：00
日・祝日：10：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11050546/,tabelog
レイルウェイクラブ,カフェ、バー,埼玉県さいたま市大宮区錦町630 JR大宮駅西口改札,048-650-0895,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11049944/,tabelog
ホリデー コーヒー,カフェ、パン,埼玉県さいたま市大宮区寿能町1-8,048-644-2914,|,"月・木〜日：11：00 〜 17：00
火・水：11：00〜11：30",https://tabelog.com/saitama/A1101/A110101/11040142/,tabelog
アフタヌーンティー・ティールーム 大宮ルミネ店,カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 1Ｆ,048-650-0883,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11002366/,tabelog
ヨリミチ,カフェ、日本酒バー,埼玉県さいたま市大宮区桜木町2-491-2 POST OMIYA 1F,070-3112-0027,|,"月・火・木〜土：11：30 〜 15：00
日：17：00 〜 22：00
日：12：00 〜 20：00",https://tabelog.com/saitama/A1101/A110101/11057125/,tabelog
常盤珈琲焙煎所 ルミネ大宮店,コーヒースタンド,埼玉県さいたま市大宮区錦町630 ルミネ大宮店,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11063296/,tabelog
ブルーバードカフェ,カフェ、洋菓子、喫茶店,埼玉県さいたま市大宮区寿能町1-16-11,080-5530-3894,無休,"火・水：12：00 〜 16：00
土・日：12：00 〜 17：00",https://tabelog.com/saitama/A1101/A110101/11050727/,tabelog
モンスーンカフェ さいたま新都心,タイ料理、アジア・エスニック、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2,050-5444-9871,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047233/,tabelog
サザコーヒー エキュート大宮店,カフェ,埼玉県さいたま市大宮区錦町630 エキュート大宮,0120-37-1151,不定休,"月〜土：06：30 〜 22：00
日・祝日：06：30 〜 21：30",https://tabelog.com/saitama/A1101/A110101/11004369/,tabelog
HUMANITIES CAFE fudoki,ダイニングバー、カフェ,埼玉県さいたま市大宮区大門町1-63 栗橋ビル 1F b号,048-729-6088,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11060739/,tabelog
星乃珈琲店 コクーンシティさいたま新都心店,喫茶店,埼玉県さいたま市大宮区吉敷町4-267-2 コクーン新都心 北館 2F,048-816-4666,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11057772/,tabelog
ガトーフェスタ ハラダ コクーンシティ さいたま新都心店,カフェ、洋菓子,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 1F,048-788-4707,日,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11055223/,tabelog
星乃珈琲店 大宮東口店,カフェ,埼玉県さいたま市大宮区大門町1-19-1 アルシェキューブ 2F,048-776-9760,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047421/,tabelog
ペルシアンカフェ SHURU,カフェ、中東料理,埼玉県さいたま市大宮区桜木町2-455-2 前原ビル 3F,048-653-8992,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11063317/,tabelog
大村庵 大宮氷川大社店,そば、日本料理、甘味処,埼玉県さいたま市大宮区高鼻町2-281,048-644-2480,年中無休,月〜日：11：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11003999/,tabelog
maru,カフェ、カレー,埼玉県さいたま市大宮区北袋町1-236,090-9383-1510,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11034302/,tabelog
DAiSY エキュート大宮店,パン、カフェ,埼玉県さいたま市大宮区錦町630 JR大宮駅 南口改札内 エキュート大宮内,090-6549-2778,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11051417/,tabelog
キャピタルコーヒー 高島屋大宮店,コーヒースタンド,埼玉県さいたま市大宮区大門町1-32 高島屋大宮店 B1F,048-643-6566,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11044267/,tabelog
いね,喫茶店,埼玉県さいたま市大宮区大門町3-37,048-642-6170,無休,月〜土：11：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11018453/,tabelog
カフェ・ベローチェ 大宮店,喫茶店,埼玉県さいたま市大宮区桜木町1-11-1 YK-10ビル 1F,048-650-6005,無休,"月〜木：07：00 〜 22：00
金〜日：07：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11014897/,tabelog
タリーズコーヒー ルミネ大宮LUMINE1店,カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 LUMINE1 6F,048-729-8691,無休,"月〜金：10：00 〜 21：00
土・日：10：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11060436/,tabelog
リンツ ショコラ ブティック＆カフェ コクーンシティ店,チョコレート、カフェ、ケーキ,埼玉県さいたま市大宮区吉敷町4-267-2 コクーン1 西館 2F,048-767-8742,不定休,日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11056598/,tabelog
ドトールコーヒーショップ 大宮ラクーン店,カフェ,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン 1F,048-646-0006,不定休,"月〜金：07：30 〜 22：00
土・日・祝日：08：00 〜 22：00",https://tabelog.com/saitama/A1101/A110101/11036891/,tabelog
ブックス＆カフェ ＵＣＣ そごう大宮店,カフェ、スイーツ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 8F,048-631-2181,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11004316/,tabelog
カフェOB 大宮西口店,カフェ,埼玉県さいたま市大宮区錦町591,080-3716-4386,無休,月〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11032759/,tabelog
アルピーノお菓子やさん 工房本店,ケーキ、カフェ,埼玉県さいたま市大宮区北袋町1-130,048-647-8805,火曜日、第,月・水〜日・祝日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11002019/,tabelog
カフェ ド チュラ,イタリアン、カフェ、レストラン,埼玉県さいたま市大宮区桜木町1-10-18 シーノ大宮センタープラザ １Ｆ,048-641-9998,無休,"月〜金：09：00 〜 23：00
土・日：12：00 〜 23：00
月〜日：11：00〜15：00
月〜日：11：00〜23：00",https://tabelog.com/saitama/A1101/A110101/11001707/,tabelog
ロッカ,喫茶店,埼玉県さいたま市大宮区宮町1-69,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11013577/,tabelog
喫茶 湊,喫茶店,埼玉県さいたま市大宮区天沼町1-81-4,,無休,"月〜金：11：30 〜 17：00
土・日：11：30 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11050678/,tabelog
ドトールコーヒーショップ ekismさいたま新都心店,カフェ,埼玉県さいたま市大宮区吉敷町4-262-18,048-711-4113,無休,"月〜金：07：00 〜 21：00
土・日・祝日：08：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11065733/,tabelog
ブローニュ・カフェ・大宮,カフェ、パン,埼玉県さいたま市大宮区宮町1-71-8,048-644-6667,|,火〜日：11：30 〜 20：30,https://tabelog.com/saitama/A1101/A110101/11031935/,tabelog
京はやしや そごう大宮店,甘味処,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 9F,048-782-8857,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11045604/,tabelog
BECK'S COFFEE SHOP 大宮店,カフェ,埼玉県さいたま市大宮区錦町630 JR大宮駅,080-3213-4985,無休,月〜日：06：30 〜 22：30,https://tabelog.com/saitama/A1101/A110101/11062492/,tabelog
コメダ珈琲店 丸井大宮店,喫茶店,埼玉県さいたま市大宮区桜木町2-3 大宮マルイ 3F,048-657-8448,日,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11048266/,tabelog
ひまつぶし,喫茶店,埼玉県さいたま市大宮区桜木町2-7-6,048-645-9324,無休,月〜日：09：00 〜 20：30,https://tabelog.com/saitama/A1101/A110101/11013529/,tabelog
シナボン・シアトルズベストコーヒー 大宮マルイ店,カフェ,埼玉県さいたま市大宮区桜木町2-3 丸井大宮店 1F,048-642-0101,無休,月〜日：10：30 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11056870/,tabelog
DONQ ルミネ大宮店,パン、サンドイッチ、カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ1 1Ｆ,048-644-5527,不定休,"月〜金：08：00 〜 21：00
土：10：00 〜 21：00
日・祝日：10：00 〜 20：30",https://tabelog.com/saitama/A1101/A110101/11003543/,tabelog
メロウ ブラウン コーヒー さいたま新都心店,カフェ、パンケーキ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン2 2F,050-5594-3624,年中無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039053/,tabelog
タリーズコーヒー SELECT ニューシャトル大宮店,カフェ,埼玉県さいたま市大宮区錦町685-1,048-788-1021,無休,"月〜金：07：00 〜 21：00
土・日：08：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11065071/,tabelog
TULLY'S COFFEE&TEA 大宮DOM店,カフェ,埼玉県さいたま市大宮区桜木町2-3 DOM 1F,048-780-2947,無休,月〜日：08：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11062942/,tabelog
カフェ ザ ブーケ,プリン、カフェ、スイーツ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 1F,048-788-3567,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039122/,tabelog
KUA`AINA さいたま新都心店,ハンバーガー、サンドイッチ、パンケーキ,埼玉県さいたま市大宮区吉敷町4-267-2 コクーンシティ コクーン1 2F,048-600-4900,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11000364/,tabelog
不二家　 大宮北袋店,洋食、カフェ、ケーキ,埼玉県さいたま市大宮区北袋町1-216-1,048-644-2733,無休,月〜日：10：00 〜 00：00,https://tabelog.com/saitama/A1101/A110101/11021477/,tabelog
SLB CAFE,カフェ、ビアバー,埼玉県さいたま市大宮区宮町1-1-1,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11066711/,tabelog
タリーズコーヒー ルミネ大宮LUMINE2 改札内店,カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮LUMINE2 1F,048-782-7940,無休,月〜日：06：45 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11046842/,tabelog
バーガーズカフェビーチ ストーリー,ハンバーガー、カフェ、バー,埼玉県さいたま市大宮区大門町2-108,048-782-6810,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11024178/,tabelog
カフェ・ナポリ,喫茶店,埼玉県さいたま市大宮区寿能町1-37,048-642-6687,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11013470/,tabelog
アップコーヒー,カフェ,埼玉県さいたま市大宮区吉敷町2-123,,無休,月・水〜日：09：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11053006/,tabelog
あるぴぃの村 お菓子やさん コクーンシティ店,ケーキ、洋菓子、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン２,048-788-1111,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11039105/,tabelog
リモーネ,喫茶店,埼玉県さいたま市大宮区桜木町4-69-4,,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11044884/,tabelog
喫茶トリコロール 高島屋大宮店,喫茶店、カフェ,埼玉県さいたま市大宮区大門町1-32 高島屋大宮店 4F,048-643-1272,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11054595/,tabelog
幸せのパンケーキ 大宮店,カフェ、パンケーキ、ケーキ,埼玉県さいたま市大宮区桜木町2-1-1 アルシェ 3F,048-644-5281,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11059014/,tabelog
甘味処 鎌倉 大宮一の宮通り店,甘味処,埼玉県さいたま市大宮区宮町2-5 宮下ビル 1F,048-788-3283,不定休,月〜日：10：30 〜 18：30,https://tabelog.com/saitama/A1101/A110101/11053074/,tabelog
高倉町珈琲 大宮店,カフェ,埼玉県さいたま市大宮区浅間町2-304-1,048-783-5690,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11051294/,tabelog
コメダ珈琲店 大宮上小町店,喫茶店,埼玉県さいたま市大宮区上小町57-1,048-788-3272,無休,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11039893/,tabelog
カフェ・ベローチェ 大宮大門町店,喫茶店、カフェ、パン,埼玉県さいたま市大宮区大門町2-22-1 TAiGAビル B1F,048-644-4561,無休,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11039022/,tabelog
kico,パン、サンドイッチ、カフェ,埼玉県さいたま市大宮区高鼻町2-1-1 Bibli 1F,048-776-9656,無休,火・水・金〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11057504/,tabelog
ラ・メゾン アンソレイユターブル ルミネ大宮店,カフェ、ケーキ、ヨーロッパ料理,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 5F,048-646-3309,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11003330/,tabelog
氷川町家いろはcafé,カフェ,埼玉県さいたま市大宮区高鼻町1-188-1,048-871-6773,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11066723/,tabelog
コーヒー＆レストラン信濃,食堂、カフェ,埼玉県さいたま市大宮区三橋2-945,048-641-6210,|,火〜日：08：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11017613/,tabelog
エクセルシオール カフェ コクーン新都心店,カフェ,埼玉県さいたま市大宮区吉敷町4丁目267-2 コクーン新都心 2F,048-601-0488,日,月〜日：09：30 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11004298/,tabelog
ゴンチャ 大宮東口店,ティースタンド,埼玉県さいたま市大宮区大門町1-94 第三やすなビル,048-782-6327,無休,月〜日：10：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11062080/,tabelog
