店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体,normalized_name,normalized_address,duplicate_score,chain_flag,mall_flag,exclude_reason
新宿高野 大宮そごう店,ケーキ、ジューススタンド、フルーツパーラー,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,048-646-2341,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11022301/,tabelog,新宿高野大宮そごう,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
Haus Coffee,カフェ,埼玉県さいたま市大宮区櫛引町1-860-67 フォープラスワン 1F,048-788-2232,無休,"月〜水・金：09：00 〜 17：00
土・日・祝日：10：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11065880/,tabelog,hauscoee,埼玉県さいたま市大宮区櫛引町1-860-67フォ-プラスワン,0,false,false,
カフェ & ダイニング シャチ,カフェ、パスタ、ダイニングバー,埼玉県さいたま市大宮区東町2-289-1 グリーンマンション 1F,048-646-5697,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11053920/,tabelog,カフェ&ダイニングシャチ,埼玉県さいたま市大宮区東町2-289-1,0,false,false,
サロン・ドゥ・カフェ,カフェ,埼玉県さいたま市大宮区桜木町1-7-5 パレスホテル大宮 1F,048-647-3300,無休,月〜日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11000721/,tabelog,サロンドゥカフェ,埼玉県さいたま市大宮区桜木町1-7-5パレスホテル大宮,0,false,false,
レイルウェイクラブ,カフェ、バー,埼玉県さいたま市大宮区錦町630 JR大宮駅西口改札,048-650-0895,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11049944/,tabelog,レイルウェイクラブ,埼玉県さいたま市大宮区錦町630jr大宮駅西口改札,0,false,false,
ホリデー コーヒー,カフェ、パン,埼玉県さいたま市大宮区寿能町1-8,048-644-2914,|,"月・木〜日：11：00 〜 17：00
火・水：11：00〜11：30",https://tabelog.com/saitama/A1101/A110101/11040142/,tabelog,ホリデコヒ,埼玉県さいたま市大宮区寿能町1-8,0,false,false,
ヨリミチ,カフェ、日本酒バー,埼玉県さいたま市大宮区桜木町2-491-2 POST OMIYA 1F,070-3112-0027,|,"月・火・木〜土：11：30 〜 15：00
日：17：00 〜 22：00
日：12：00 〜 20：00",https://tabelog.com/saitama/A1101/A110101/11057125/,tabelog,ヨリミチ,埼玉県さいたま市大宮区桜木町2-491-2postomiya,0,false,false,
ブルーバードカフェ,カフェ、洋菓子、喫茶店,埼玉県さいたま市大宮区寿能町1-16-11,080-5530-3894,無休,"火・水：12：00 〜 16：00
土・日：12：00 〜 17：00",https://tabelog.com/saitama/A1101/A110101/11050727/,tabelog,ブルバドカフェ,埼玉県さいたま市大宮区寿能町1-16-11,0,false,false,
モンスーンカフェ さいたま新都心,タイ料理、アジア・エスニック、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2,050-5444-9871,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047233/,tabelog,モンスンカフェさいたま新都心,埼玉県さいたま市大宮区吉敷町4-263-1コク-ンシティコク-ン2,0,false,false,
大村庵 大宮氷川大社店,そば、日本料理、甘味処,埼玉県さいたま市大宮区高鼻町2-281,048-644-2480,年中無休,月〜日：11：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11003999/,tabelog,大村庵大宮,埼玉県さいたま市大宮区高鼻町2-281,0,false,false,
maru,カフェ、カレー,埼玉県さいたま市大宮区北袋町1-236,090-9383-1510,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11034302/,tabelog,maru,埼玉県さいたま市大宮区北袋町1-236,0,false,false,
いね,喫茶店,埼玉県さいたま市大宮区大門町3-37,048-642-6170,無休,月〜土：11：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11018453/,tabelog,いね,埼玉県さいたま市大宮区大門町3-37,0,false,false,
ブックス＆カフェ ＵＣＣ そごう大宮店,カフェ、スイーツ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 8F,048-631-2181,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11004316/,tabelog,ブックス&カフェuccそごう,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
カフェOB 大宮西口店,カフェ,埼玉県さいたま市大宮区錦町591,080-3716-4386,無休,月〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11032759/,tabelog,カフェob大宮,埼玉県さいたま市大宮区錦町591,0,false,false,
アルピーノお菓子やさん 工房本店,ケーキ、カフェ,埼玉県さいたま市大宮区北袋町1-130,048-647-8805,火曜日、第,月・水〜日・祝日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11002019/,tabelog,アルピノお菓子やさん工房,埼玉県さいたま市大宮区北袋町1-130,0,false,false,
ブローニュ・カフェ・大宮,カフェ、パン,埼玉県さいたま市大宮区宮町1-71-8,048-644-6667,|,火〜日：11：30 〜 20：30,https://tabelog.com/saitama/A1101/A110101/11031935/,tabelog,ブロニュカフェ大宮,埼玉県さいたま市大宮区宮町1-71-8,0,false,false,
京はやしや そごう大宮店,甘味処,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 9F,048-782-8857,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11045604/,tabelog,京はやしやそごう,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
ひまつぶし,喫茶店,埼玉県さいたま市大宮区桜木町2-7-6,048-645-9324,無休,月〜日：09：00 〜 20：30,https://tabelog.com/saitama/A1101/A110101/11013529/,tabelog,ひまつぶし,埼玉県さいたま市大宮区桜木町2-7-6,0,false,false,
メロウ ブラウン コーヒー さいたま新都心店,カフェ、パンケーキ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン2 2F,050-5594-3624,年中無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039053/,tabelog,メロウブラウンコヒさいたま,埼玉県さいたま市大宮区吉敷町4-263-1コク-ン2,0,false,false,
タリーズコーヒー SELECT ニューシャトル大宮店,カフェ,埼玉県さいたま市大宮区錦町685-1,048-788-1021,無休,"月〜金：07：00 〜 21：00
土・日：08：00 〜 21：00",https://tabelog.com/saitama/A1101/A110101/11065071/,tabelog,タリズコヒselectニュシャ,埼玉県さいたま市大宮区錦町685-1,0,false,false,
TULLY'S COFFEE&TEA 大宮DOM店,カフェ,埼玉県さいたま市大宮区桜木町2-3 DOM 1F,048-780-2947,無休,月〜日：08：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11062942/,tabelog,tullyscoee&tea大宮dom,埼玉県さいたま市大宮区桜木町2-3dom,0,false,false,
バーガーズカフェビーチ ストーリー,ハンバーガー、カフェ、バー,埼玉県さいたま市大宮区大門町2-108,048-782-6810,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11024178/,tabelog,バガズカフェビチストリ,埼玉県さいたま市大宮区大門町2-108,0,false,false,
カフェ・ナポリ,喫茶店,埼玉県さいたま市大宮区寿能町1-37,048-642-6687,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11013470/,tabelog,カフェナポリ,埼玉県さいたま市大宮区寿能町1-37,0,false,false,
あるぴぃの村 お菓子やさん コクーンシティ店,ケーキ、洋菓子、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン２,048-788-1111,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11039105/,tabelog,あるぴぃの村お菓子やさんコク,埼玉県さいたま市大宮区吉敷町4-263-1コク-ン2,0,false,false,
高倉町珈琲 大宮店,カフェ,埼玉県さいたま市大宮区浅間町2-304-1,048-783-5690,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11051294/,tabelog,高倉町珈琲,埼玉県さいたま市大宮区浅間町2-304-1,0,false,false,
kico,パン、サンドイッチ、カフェ,埼玉県さいたま市大宮区高鼻町2-1-1 Bibli 1F,048-776-9656,無休,火・水・金〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11057504/,tabelog,kico,埼玉県さいたま市大宮区高鼻町2-1-1bibli,0,false,false,
氷川町家いろはcafé,カフェ,埼玉県さいたま市大宮区高鼻町1-188-1,048-871-6773,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11066723/,tabelog,氷川町家いろはcaé,埼玉県さいたま市大宮区高鼻町1-188-1,0,false,false,
コーヒー＆レストラン信濃,食堂、カフェ,埼玉県さいたま市大宮区三橋2-945,048-641-6210,|,火〜日：08：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11017613/,tabelog,コヒ&レストラン信濃,埼玉県さいたま市大宮区三橋2-945,0,false,false,
エクセルシオール カフェ コクーン新都心店,カフェ,埼玉県さいたま市大宮区吉敷町4丁目267-2 コクーン新都心 2F,048-601-0488,日,月〜日：09：30 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11004298/,tabelog,エクセルシオルカフェコク,埼玉県さいたま市大宮区吉敷町4-267-2コク-ン新都心,0,false,false,
大宮コーヒーロースターズ oasis,カフェ,埼玉県さいたま市大宮区桜木町2-491-2 postomiya2号棟 1F,048-782-8776,不定休,"月・水：11：00 〜 18：00
火・木〜日：11：00 〜 22：00
月：11：00〜18：00
火〜日：11：00〜22：00",https://tabelog.com/saitama/A1101/A110101/11057230/,tabelog,大宮コヒロスタズoasis,埼玉県さいたま市大宮区桜木町2-491-2postomiya2棟,0,false,false,
ease,ダイニングバー、ビアバー、カフェ,埼玉県さいたま市大宮区桜木町1-195-1 大宮ソラミチKOZ 1F,048-783-3403,無休,月〜日：11：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11061031/,tabelog,ease,埼玉県さいたま市大宮区桜木町1-195-1大宮ソラミチkoz,0,false,false,
エプロント 大宮区役所店,カフェ,埼玉県さいたま市大宮区吉敷町1-124-1 大宮区役所敷地内,048-729-6789,無休,"月〜金：08：00 〜 19：00
土・日・祝日：09：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11050494/,tabelog,エプロント大,埼玉県さいたま市大宮区吉敷町1-124-1大宮区役所敷地内,0,false,false,
cafe CERVIN,カフェ、ケーキ、パスタ,埼玉県さいたま市大宮区高鼻町1-56 NRK大宮 1F,048-708-5284,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11060774/,tabelog,caecervin,埼玉県さいたま市大宮区高鼻町1-56nrk大宮,0,false,false,
小春日和,パン、ベーグル、カフェ,埼玉県さいたま市大宮区堀の内町3-39-1,048-648-5614,無休,火〜金：10：30 〜 16：30,https://tabelog.com/saitama/A1101/A110101/11004747/,tabelog,小春日和,埼玉県さいたま市大宮区堀の内町3-39-1,0,false,false,
ゴンチャ アルシェ大宮店,ティースタンド、スイーツ、タピオカ,埼玉県さいたま市大宮区桜木町2-1-1 大宮アルシェ 2F,048-871-7702,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11050547/,tabelog,ゴンチャアル,埼玉県さいたま市大宮区桜木町2-1-1大宮アルシェ,0,false,false,
氷川参道カフェ いやしろ,カフェ,埼玉県さいたま市大宮区吉敷町3-48-1,048-715-0623,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11053540/,tabelog,氷川参道カフェいやしろ,埼玉県さいたま市大宮区吉敷町3-48-1,0,false,false,
熊谷珈琲,喫茶店、カフェ,埼玉県さいたま市大宮区浅間町2-46 浅間町ハウス 1F,048-607-5432,無休,"火〜金：10：00 〜 19：00
土・日・祝日：07：00 〜 19：00",https://tabelog.com/saitama/A1101/A110101/11021262/,tabelog,熊谷珈琲,埼玉県さいたま市大宮区浅間町2-46浅間町ハウス,0,false,false,
BLOOMY'S×Flory,カフェ,埼玉県さいたま市大宮区大門町2-118 大宮門街EAST 2F,048-729-4096,無休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11058224/,tabelog,bloomys×lory,埼玉県さいたま市大宮区大門町2-118大宮門街east,0,false,false,
オール ザット コーヒーワークス,カフェ,埼玉県さいたま市大宮区土手町2-35,048-708-8483,|,月・水〜日：12：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11045815/,tabelog,オルザットコヒワクス,埼玉県さいたま市大宮区土手町2-35,0,false,false,
コメダ和喫茶 おかげ庵 大宮東口店,カフェ,埼玉県さいたま市大宮区大門町2-118 大宮門街 １F,048-788-4086,無休,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11064343/,tabelog,コメダ和喫茶おかげ庵大宮,埼玉県さいたま市大宮区大門町2-118大宮門街,0,false,false,
5 CAFE,ハワイ料理、カフェ,埼玉県さいたま市大宮区櫛引町1-880,048-400-3171,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11061456/,tabelog,5cae,埼玉県さいたま市大宮区櫛引町1-880,0,false,false,
プリン工房 檸檬堂。 大宮本店,プリン、カフェ、洋菓子,埼玉県さいたま市大宮区東町2-87,080-3020-9732,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11036171/,tabelog,プリン工房檸檬堂大宮,埼玉県さいたま市大宮区東町2-87,0,false,false,
ドゥミュミュール 樹の音,カフェ,埼玉県さいたま市大宮区天沼町1-63,048-657-2757,無休,金〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11046232/,tabelog,ドゥミュミュル樹の音,埼玉県さいたま市大宮区天沼町1-63,0,false,false,
カフェ 風屋,カフェ,埼玉県さいたま市大宮区上小町603-3,048-648-7333,無休,月・火・木・金：11：30 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11046715/,tabelog,カフェ風屋,埼玉県さいたま市大宮区上小町603-3,0,false,false,
カフェボスケ,カフェ、パン、カレー,埼玉県さいたま市大宮区三橋1-1331,048-640-2533,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11029143/,tabelog,カフェボスケ,埼玉県さいたま市大宮区三橋1-1331,0,false,false,
喫茶ルポーズ,喫茶店,埼玉県さいたま市大宮区天沼町1-136-2,048-657-0202,|,月〜金・日・祝日：10：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11029667/,tabelog,喫茶ルポズ,埼玉県さいたま市大宮区天沼町1-136-2,0,false,false,
のんびりcafe もふ浪漫,カフェ,埼玉県さいたま市大宮区三橋4-980-17 1F,080-8010-5015,無休,月・木〜日：12：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11058788/,tabelog,のんびりcaeもふ浪漫,埼玉県さいたま市大宮区三橋4-980-17,0,false,false,
まめやサン,コーヒースタンド,埼玉県さいたま市大宮区桜木町3-113,048-708-1363,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11055130/,tabelog,まめやサン,埼玉県さいたま市大宮区桜木町3-113,0,false,false,
侘助,喫茶店,埼玉県さいたま市大宮区天沼町2-674-1,048-647-6239,|,火〜土：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11029653/,tabelog,侘助,埼玉県さいたま市大宮区天沼町2-674-1,0,false,false,
cafe Lautrec,カフェ,埼玉県さいたま市大宮区桜木町1-365-5,048-645-5505,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11021278/,tabelog,caelautrec,埼玉県さいたま市大宮区桜木町1-365-5,0,false,false,
南回帰線,カフェ,埼玉県さいたま市大宮区吉敷町2-108-8,048-645-5885,無休,月・水〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11039208/,tabelog,南回帰線,埼玉県さいたま市大宮区吉敷町2-108-8,0,false,false,
アートカフェ濱田,喫茶店,埼玉県さいたま市大宮区土手町3-80,048-641-0057,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11046810/,tabelog,アトカフェ濱田,埼玉県さいたま市大宮区土手町3-80,0,false,false,
イタリアンバー No Name 346,イタリアン、居酒屋、カフェ,埼玉県さいたま市大宮区宮町2-8-1 corte 1F,048-788-1518,無休,"月〜木・日・祝日：17：00 〜 00：00
金〜日・祝前日：17：00 〜 03：00",https://tabelog.com/saitama/A1101/A110101/11059884/,tabelog,イタリアンバnoname346,埼玉県さいたま市大宮区宮町2-8-1corte,0,false,false,
TICO,カフェ、喫茶店,埼玉県さいたま市大宮区大成町3-615-10,048-661-5554,無休,月〜土：10：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11033063/,tabelog,tico,埼玉県さいたま市大宮区大成町3-615-10,0,false,false,
ぶたのしっぽ,カフェ、洋菓子,埼玉県さいたま市大宮区東町2-54-2 小川コンビニアム 1F,048-856-9339,|,月〜水・金〜日：13：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11047576/,tabelog,ぶたのしっぽ,埼玉県さいたま市大宮区東町2-54-2小川コンビニアム,0,false,false,
大宮ボートハーバー,カフェ,埼玉県さいたま市大宮区高鼻町4 周遊池,070-3200-0716,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11065205/,tabelog,大宮ボトハバ,埼玉県さいたま市大宮区高鼻町4周遊池,0,false,false,
道化宿珈琲,喫茶店,埼玉県さいたま市大宮区浅間町2-261,090-3845-8462,|,ホ〜ムぺ〜ジにて告知,https://tabelog.com/saitama/A1101/A110101/11060857/,tabelog,道化宿珈琲,埼玉県さいたま市大宮区浅間町2-261,0,false,false,
Café Fika,カフェ,埼玉県さいたま市大宮区三橋1-993-1,048-662-9371,|,月〜金：11：00 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11066451/,tabelog,caéika,埼玉県さいたま市大宮区三橋1-993-1,0,false,false,
はなまめカフェ,カフェ、食堂,埼玉県さいたま市大宮区三橋2-903-2,048-871-8186,無休,火・水・金・土：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11055471/,tabelog,はなまめカフェ,埼玉県さいたま市大宮区三橋2-903-2,0,false,false,
ラウンジソニックホール,カフェ,埼玉県さいたま市大宮区桜木町1-7-2,048-647-4004,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11048767/,tabelog,ラウンジソニックホル,埼玉県さいたま市大宮区桜木町1-7-2,0,false,false,
あっぷるはうす,喫茶店、カフェ,埼玉県さいたま市大宮区高鼻町2-285,048-644-9925,日,【営業時間】■,https://tabelog.com/saitama/A1101/A110101/11018425/,tabelog,あっぷるはうす,埼玉県さいたま市大宮区高鼻町2-285,0,false,false,
豆図鑑,カフェ,埼玉県さいたま市大宮区天沼町1-602,048-647-2689,無休,火〜日：10：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11039156/,tabelog,豆図鑑,埼玉県さいたま市大宮区天沼町1-602,0,false,false,
ココマンナ 大宮店,クレープ・ガレット、タピオカ,埼玉県さいたま市大宮区桜木町2-3 ダイエー大宮店 B1F,048-778-8850,不定休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11055483/,tabelog,ココマンナ,埼玉県さいたま市大宮区桜木町2-3ダイエ-大宮店,0,false,false,
空,カフェ,埼玉県さいたま市大宮区上小町522,048-644-4086,不定休,【営業時間】■ 営業時間不定■,https://tabelog.com/saitama/A1101/A110101/11038508/,tabelog,空,埼玉県さいたま市大宮区上小町522,0,false,false,
Art cafe Linden,カフェ,埼玉県さいたま市大宮区堀の内町3-359-17 1F,048-646-0876,|,水〜日：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11036905/,tabelog,artcaelinden,埼玉県さいたま市大宮区堀の内町3-359-17,0,false,false,
COFFEE B-1,喫茶店,埼玉県さいたま市大宮区大門町2-86 B1F,048-644-1161,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11062150/,tabelog,coeeb1,埼玉県さいたま市大宮区大門町2-86,0,false,false,
スタジオM,喫茶店,埼玉県さいたま市大宮区土手町3-134,048-641-2829,無休,水〜日：11：30 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11060503/,tabelog,スタジオm,埼玉県さいたま市大宮区土手町3-134,0,false,false,
LEMONADE by Lemonica 大宮ラクーン店,ジューススタンド,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン 1F,048-658-9559,無休,月〜日：11：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11063567/,tabelog,lemonadebylemonica大宮,埼玉県さいたま市大宮区宮町1-60大宮ラク-ン,0,false,false,
喫茶つやま,喫茶店、日本料理,埼玉県さいたま市大宮区三橋3-134-4,048-648-0348,無休,火〜日：10：00 〜 18：00,https://tabelog.com/saitama/A1101/A110101/11004407/,tabelog,喫茶つやま,埼玉県さいたま市大宮区三橋3-134-4,0,false,false,
くら馬 cafe,カフェ、スイーツ,埼玉県さいたま市大宮区三橋1-727-2,048-778-8671,|,火〜日：14：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11044304/,tabelog,くら馬cae,埼玉県さいたま市大宮区三橋1-727-2,0,false,false,
Lyon Wellfieid Cafe,カフェ,埼玉県さいたま市大宮区桜木町4-928,048-643-4445,無休,火〜土：10：30 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11056930/,tabelog,lyonwellieidcae,埼玉県さいたま市大宮区桜木町4-928,0,false,false,
